Set_ID,Pair_ID,Pair_Part_A,Pair_Part_B,Ann1,Ann2,Ann3,Ann4,Ann5,Source
1,1,الأنهار الجليدية والجليد البحري التي كانت معنا منذ الآلاف السنين تختفي الآن في غضون عقود.,الأنهار الجليدية والجليد البحري التي كانت معنا منذ الآلاف السنين تختفي الآن في غضون عقود.,most,most,most,most,most,IWSLT07_AR_EN
1,2,شكرًا لكم.,كبلر هو تلسكوب فضائي يقيس الظلام الباهت للنجوم، عندما تمر الكواكب أمامهم، يحجب قليلًا من الضوء من الوصول إلينا.,least,least,least,least,least,IWSLT07_AR_EN
1,3,لست عالمة في المناخ أنا عالمة فلك.,نحن عند نقطة تحول في تاريخ الإنسانية، تأرجح البشرية بين كسب النجوم وفقدان الكوكب الذي نسميه الوطن.,,,,,,IWSLT07_AR_EN
1,4,لا، إنها في الواقع وجهين لنفس الهدف: فهي لفهم وصيانة وتحسين الحياة في المستقبل.,لأن البيئات القاسية لعالمنا الخاص هي آفاق غريبة دخيلة.,,,,,,IWSLT07_AR_EN
2,5,أعرفه جيدا. ليس من الضروري أن يكون شيئا قمت بسمعه.,يمكن أن تشعر به في الحقيقة، أو تجربه كشيء مرئي، أو حتى كفكرة.,,,,,,IWSLT07_AR_EN
2,6, قررت استرداد ملكية الصوت وإدراجه في أعمالي الفنية.,بدأت بإنشاء هيكل جديد للعمل.,least,,,,least,IWSLT07_AR_EN
2,7,وكل شيء علموني إياه حول الصوت، قررت التخلص منه ونسيانه.,وعندما قمت بتقديمه للمجتمع الفني، انبهرت بالدعم والاهتمام الذي حصلت عليه.,,least,least,least,,IWSLT07_AR_EN
2,8,أدركت أن: الصوت يشبه المال والقوة والسلطة -- كأنه عُملة اجتماعية.,في مخيلتي، كنت دائما أشعر أن الصوت شيء خاص بكم، شيء خاص بالقادرين على السماع.,most,most,most,most,most,IWSLT07_AR_EN
3,9,قبل اليوم، كنت رسامة.,وفي صيف هذا العام، زرت متحف وصالات عرض مختلفة، ومن خلال تنقلي من مكان لآخر، لاحظت أن الفنون المرئية مفقودة هناك.,,,,,,IWSLT07_AR_EN
3,10,وفي ذلك الوقت، كان الصوت يميل وهذا إذهلني كثيراً..,كان كل شيء مسموعاً.,most,most,most,most,most,IWSLT07_AR_EN
3,11,أصبح الصوت جزءاً من مجالي الفني.,هل سيقوم بإبعادي عن الفن؟,,,,,,IWSLT07_AR_EN
3,12,أدركت أنه لا يجب أن يحدث ذلك على الإطلاق.,أعرف الصوت في الحقيقة.,least,least,least,least,least,IWSLT07_AR_EN
4,13,توسّعت بشكل كبير معرفتنا بكيفية تناسب الأرض في سياق كوننا.,اكتشفت بعثة كبلرالتابع لوكالة ناسا الآلاف من الكواكب المحتملة حول النجوم الأخرى.,,,least,,,IWSLT07_AR_EN
4,14,تكشف بيانات كبلر أحجام الكواكب وكذلك بُعدها عن النجم الأم لكل منها.,تساعدنا هذه البيانات مجتمعة على فهم ما إذا كانت هذه الكواكب صغيرة وصخرية.,most,most,most,most,most,IWSLT07_AR_EN
4,15,هذه التغيرات البيئية على المستوى الكوكبي التي وضعناها في الحركة تفوق سرعتها قدرتنا على تغيير مسارها.,لسوء الحظ.,least,least,,,least,IWSLT07_AR_EN
4,16,أهداف الاستكشاف والحفاظ على الكواكب لا تتعارض مع بعضها البعض.,في المقابل، يُوفر هذا أدلة فيما إذا كانت هذه الكواكب التي نكتشفها صالحة للسكن أم لا.,,,,least,,IWSLT07_AR_EN
5,17,أدرس احتمالية العثور على أماكن ممكنة.,يُمكنكم القول أنني أبحث عن عقار في الفضاء.,,most,,,least,IWSLT07_AR_EN
5,18,أستطيع أن أقول لكم أنه كلما زاد بحثكم عن كواكب تشبه الأرض، زاد تقديركم لكوكبنا نفسه.,ويثير كل من هذه العوالم الجديدة مقارنة بين الكواكب المكتشفة حديثًا والكواكب المتواجدة في مجموعتنا الشمسية.,,,,,,IWSLT07_AR_EN
5,19,في الواقع، من المحتمل أن المريخ كان مكان صالحًا للسكن في الماضي، ولهذا السبب نحن ندرسُ المريخ كثيرًا.,المريخ صغير وصخري، وعلى الرغم من أنه بعيد قليلًا عن الشمس، إلا إنه قد يعتبر مكان يُحتمل السكن فيه إذا وُجد من قبل بعثة مثل كبلر.,most,,most,most,most,IWSLT07_AR_EN
5,20,أنظر إلى جارنا المريخ.,عرباتنا المتجولة مثل كيوريوسيتي روفر تحفر بحثًا عن أدلة لأصول الحياة كما نعرفها.,least,least,least,least,,IWSLT07_AR_EN
6,21,المسابير الفضائية مثل بعثة مافن تجمعُ عينات من الغلاف الجوي للمريخ.,تقدم شركات الطيران الفضائي الآن ليس مجرد رحلة قصيرة إلى الفضاء القريب لكن الاحتمالية المؤلمة لنعيش حياتنا على كوكب المريخ.,most,,least,,most,IWSLT07_AR_EN
6,22,آفاق المريخ تشبه صحاري عالمنا,أنظر إلى مدى هجرنا لصحاري كوكبنا.,,most,,most,,IWSLT07_AR_EN
